No.,Time,Source,Destination,Protocol,Length,Info
80,0.321656,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
81,0.325803,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
82,0.330383,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
83,0.334507,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
84,0.339016,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
85,0.343466,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
86,0.347374,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
87,0.351843,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
88,0.356445,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
89,0.360348,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
90,0.364824,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
91,0.369348,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
92,0.373913,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
93,0.378101,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
94,0.382078,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
95,0.386912,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
96,0.390683,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
97,0.395236,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
98,0.399616,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
99,0.403853,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
100,0.408358,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
101,0.412438,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
102,0.416553,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
103,0.420871,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
104,0.425233,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
105,0.429534,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
106,0.433923,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
107,0.438269,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
108,0.442517,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
109,0.447591,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
110,0.45138,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
111,0.455821,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
112,0.46035,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
113,0.464365,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
114,0.468725,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
115,0.473167,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
116,0.477293,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
117,0.481549,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
118,0.486175,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
119,0.490773,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
120,0.495392,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
121,0.499541,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
122,0.503495,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
123,0.507655,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
124,0.511941,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
125,0.516149,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
126,0.520635,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
127,0.524865,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
128,0.529235,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
129,0.534091,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
130,0.537723,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
131,0.542469,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
132,0.546398,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
133,0.550966,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
134,0.55528,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
135,0.559421,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
136,0.563804,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
137,0.568044,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
138,0.572512,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
139,0.577004,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
140,0.581435,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
141,0.585341,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
142,0.589896,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
143,0.594984,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
144,0.598736,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
145,0.602766,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
146,0.607393,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
147,0.611423,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
148,0.615973,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
149,0.619967,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
150,0.624541,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
151,0.629048,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
152,0.632997,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
153,0.637334,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
154,0.641847,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
155,0.646866,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
156,0.650587,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
157,0.654722,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
158,0.65986,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
159,0.66351,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
160,0.667597,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
161,0.671884,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
162,0.676696,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
163,0.680616,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
164,0.684935,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
165,0.689353,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
166,0.693568,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
167,0.69805,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
168,0.702284,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
169,0.706727,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
170,0.710904,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
171,0.715533,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
172,0.719575,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
173,0.724225,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
174,0.728791,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
175,0.732835,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
176,0.737066,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
177,0.741607,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
178,0.745603,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
179,0.749899,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
180,0.754417,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
181,0.758538,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
182,0.762873,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
183,0.767395,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
184,0.771495,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
185,0.775911,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
186,0.780596,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
187,0.785957,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
188,0.789183,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
189,0.793283,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
190,0.797803,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
191,0.801835,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
192,0.806071,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
193,0.81086,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
194,0.81497,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
195,0.81926,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
196,0.823436,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
197,0.82787,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
198,0.83229,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
199,0.836721,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
200,0.840927,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
201,0.845299,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
202,0.849879,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
203,0.854523,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
204,0.858132,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
205,0.862479,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
206,0.867093,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
207,0.871132,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
208,0.875788,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
209,0.879861,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
210,0.884498,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
211,0.888607,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
212,0.893079,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
213,0.897225,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
214,0.901752,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
215,0.905769,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
216,0.910774,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
217,0.914692,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
218,0.918712,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
219,0.923253,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
220,0.927357,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
221,0.931755,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
222,0.935937,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
223,0.940859,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
