"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"90","0.343779","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004328"
"91","0.348127","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004348"
"92","0.352507","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004380"
"93","0.357023","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004516"
"94","0.361266","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004243"
"95","0.365729","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004463"
"96","0.370007","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004278"
"97","0.374224","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004217"
"98","0.378597","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004373"
"99","0.382943","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004346"
"100","0.387234","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004291"
"101","0.391471","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004237"
"102","0.395810","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004339"
"103","0.400185","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004375"
"104","0.404547","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004362"
"105","0.408837","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004290"
"106","0.413188","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004351"
"107","0.417616","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004428"
"108","0.421888","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004272"
"109","0.426227","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004339"
"110","0.430662","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004435"
"111","0.434878","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004216"
"112","0.439151","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004273"
"113","0.443516","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004365"
"114","0.447881","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004365"
"115","0.452220","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004339"
"116","0.456330","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004110"
"117","0.460656","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004326"
"118","0.464994","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004338"
"119","0.469326","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004332"
"120","0.473640","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004314"
"121","0.477958","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004318"
"122","0.482288","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004330"
"123","0.486605","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004317"
"124","0.490943","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004338"
"125","0.495271","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004328"
"126","0.499737","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004466"
"127","0.504181","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004444"
"128","0.508499","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004318"
"129","0.512958","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004459"
"130","0.517168","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004210"
"131","0.521323","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004155"
"132","0.525801","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004478"
"133","0.530109","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004308"
"134","0.534410","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004301"
"135","0.538700","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004290"
"136","0.543092","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004392"
"137","0.547519","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004427"
"138","0.551721","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004202"
"139","0.556072","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004351"
"140","0.560354","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004282"
"141","0.564837","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004483"
"142","0.569005","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004168"
"143","0.573400","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004395"
"144","0.577770","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004370"
"145","0.581907","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004137"
"146","0.586316","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004409"
"147","0.590661","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004345"
"148","0.594982","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004321"
"149","0.599152","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004170"
"150","0.603474","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004322"
"151","0.607798","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004324"
"152","0.612276","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004478"
"153","0.616456","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004180"
"154","0.620783","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004327"
"155","0.625114","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004331"
"156","0.629433","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004319"
"157","0.633768","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004335"
"158","0.638098","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004330"
"159","0.642912","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004814"
"160","0.647130","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004218"
"161","0.651327","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004197"
"162","0.655506","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004179"
"163","0.659973","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004467"
"164","0.664323","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004350"
"165","0.668529","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004206"
"166","0.672818","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004289"
"167","0.677333","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004515"
"168","0.681470","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004137"
"169","0.685907","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004437"
"170","0.690243","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004336"
"171","0.694561","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004318"
"172","0.698849","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004288"
"173","0.703348","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004499"
"174","0.707578","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004230"
"175","0.711934","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004356"
"176","0.716085","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004151"
"177","0.720698","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004613"
"178","0.724973","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004275"
"179","0.729211","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004238"
"180","0.733502","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004291"
"181","0.737854","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004352"
"182","0.742397","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004543"
"183","0.746301","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.003904"
"184","0.750637","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004336"
"185","0.754985","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004348"
"186","0.759298","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004313"
"187","0.763608","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004310"
"188","0.767934","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004326"
"189","0.772285","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004351"
"190","0.776597","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004312"
"191","0.780929","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004332"
"192","0.785603","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004674"
"193","0.789702","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004099"
"194","0.793936","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004234"
"195","0.798366","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004430"
"196","0.802691","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004325"
"197","0.806958","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004267"
"198","0.811339","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004381"
"199","0.815644","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004305"
"200","0.820070","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004426"
"201","0.824306","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004236"
